sl_no,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,status,salary
1,67,Others,91,Others,Commerce,58,Commerce,No,55,Placed,270000
2,79.33,Central,78.33,Others,Science,77.48,Science And Technology,Yes,86.5,Placed,200000
3,65,Central,68,Central,Arts,64,Arts,No,75,Placed,250000
4,56,Central,52,Central,Science,52,Commerce,No,66,Not Placed,
5,85.8,Central,73.6,Central,Commerce,73.3,Management,No,96.8,Placed,425000
6,55,Others,49.8,Others,Science,67.25,Science And Technology,Yes,55,Not Placed,
7,46,Others,49.2,Others,Commerce,79,Commerce,No,74.28,Not Placed,
8,82,Central,64,Central,Science,66,Management,Yes,67,Placed,252000
9,73,Central,79,Central,Commerce,72,Management,No,91.34,Placed,231000
10,58,Central,70,Central,Commerce,61,Commerce,No,54,Not Placed,
11,58,Central,61,Central,Commerce,60,Arts,Yes,62,Placed,260000
12,69.6,Central,68.4,Central,Commerce,78.3,Arts,Yes,60,Placed,250000
13,47,Central,55,Others,Science,65,Science And Technology,No,62,Not Placed,
14,77,Central,87,Central,Commerce,59,Management,No,68,Placed,218000
15,62,Central,47,Central,Commerce,50,Management,No,76,Not Placed,
16,65,Central,75,Central,Commerce,69,Commerce,Yes,72,Placed,200000
17,63,Central,66.2,Central,Commerce,65.6,Arts,Yes,60,Placed,300000
18,55,Central,67,Central,Commerce,64,Commerce,No,60,Not Placed,
19,63,Central,66,Central,Commerce,64,Commerce,No,68,Not Placed,
20,60,Others,67,Others,Arts,70,Arts,Yes,50.48,Placed,236000
21,62,Others,65,Others,Commerce,66,Management,No,50,Placed,265000
22,79,Others,76,Others,Commerce,85,Management,No,95,Placed,393000
23,69.8,Others,60.8,Others,Science,72.23,Science And Technology,No,55.53,Placed,360000
24,77.4,Others,60,Others,Science,64.74,Science And Technology,Yes,92,Placed,300000
25,76.5,Others,97.7,Others,Science,78.86,Arts,No,97.4,Placed,360000
26,52.58,Others,54.6,Central,Commerce,50.2,Arts,Yes,76,Not Placed,
27,71,Others,79,Others,Commerce,66,Commerce,Yes,94,Placed,240000
28,63,Others,67,Others,Commerce,66,Management,No,68,Placed,265000
29,76.76,Others,76.5,Others,Commerce,67.5,Management,Yes,73.35,Placed,350000
30,62,Central,67,Central,Commerce,58,Management,No,77,Not Placed,
31,64,Central,73.5,Central,Commerce,73,Commerce,No,52,Placed,250000
32,67,Central,53,Central,Science,65,Science And Technology,No,64,Not Placed,
33,61,Central,81,Central,Commerce,66.4,Commerce,No,50.89,Placed,278000
34,87,Others,65,Others,Science,81,Science And Technology,Yes,88,Placed,260000
35,62,Others,51,Others,Science,52,Others,No,68.44,Not Placed,
36,69,Central,78,Central,Commerce,72,Others,No,71,Placed,300000
37,51,Central,44,Central,Commerce,57,Management,No,64,Not Placed,
38,79,Central,76,Central,Science,65.6,Science And Technology,No,58,Placed,320000
39,73,Others,58,Others,Science,66,Commerce,No,53.7,Placed,240000
40,81,Others,68,Others,Science,64,Science And Technology,No,93,Placed,411000
